,Açıklamalar,Tarih,Toplam Test,Toplam Hasta,Toplam Ölüm,Toplam Hastane Yatışı,Toplam Entübe Hasta,Toplam Taburcu,Toplam İyileşen
1,Tablo1,28.06.2020,3.297.509,198.284,5.097,105.416,7.775,98.216,170.595
,"COVID-19 Özet Tablo, Türkiye",05.07.2020,3.649.095,206.847,5.225,110.338,8.142,106.842,180.680
2,Veri Girişi,12.07.2020,3.994.110,214.029,5.363,116.010,8.489,114.405,194.515
,Otomatik Oluşturulan Tablo,19.07.2020,4.292.045,220.658,5.491,119.717,8.800,118.087,202.010
3,Veri Kontrolü,26.07.2020,4.591.430,227.107,5.613,123.300,9.115,121.481,209.487
,-,02.08.2020,4.904.695,233.860,5.728,126.865,9.431,124.856,216.494
4,Koordinatör,09.08.2020,5.282.615,241.808,5.844,130.814,9.780,128.150,223.759
,Abdullah Uçar,16.08.2020,5.744.051,250.313,5.974,134.221,10.174,131.383,230.969
5,Kapsam,23.08.2020,6.346.340,259.253,6.121,137.617,10.691,134.485,237.165
,"Bu veri seti, Sağlık Bakanlığı günlük raporlarında sunulan verileri içermektedir. ",30.08.2020,7.047.282,269.550,6.326,141.503,11.212,137.548,243.839
6,Kaynak,06.09.2020,7.798.526,280.809,6.673,145.648,11.792,140.840,251.105
,Sağlık Bakanlığı Haftalık Raporları,13.09.2020,8.538.514,292.165,7.056,149.893,12.386,144.114,258.833
7,Notlar,20.09.2020,9.287.991,303.870,7.506,154.186,12.974,147.359,267.233
,"29 Temmuz 2020 tarihinden itibaren Sağlık Bakanlığı tarafından yayınlanan turkuvaz tabloda ""vaka"" ifadeleri ""hasta"" ifadesi ile değiştirilmiştir. ",27.09.2020,10.056.784,315.436,7.997,157.798,13.593,150.711,275.630
,"30 Eylül 2020 Sağlık Bakanlığı açıklamasında, “vaka sayısı” ifadesinin sadece semptomatik vakaları, yani “hasta sayısı”nı ifade ettiği, asemptomatik vakaları kapsamadığı ifade edilmiştir. Bu tanıma istinaden 2 Ekim 2020 itibariyle TURCOVID19 içeriklerinde Türkiye verilerine yönelik “vaka” ifadesi “hasta” ifadesi ile değiştirilmiştir.",04.10.2020,10.835.423,325.445,8.441,161.212,14.124,154.072,285.050
8,Sorumluluk Reddi,11.10.2020,11.635.138,336.533,8.837,164.581,14.613,157.153,294.357
,Veri setindeki olası hataların / eksikliklerin kontrol sorumluluğu kullanıcılara aittir.,18.10.2020,12.427.764,348.493,9.296,168.180,15.145,159.954,304.003
,TURCOVID19 veri setinin kullanımından kaynaklanabilecek her türlü maddi ve manevi zararların sorumluluğunu reddeler.,25.10.2020,13.237.403,362.800,9.799,172.346,15.751,163.093,314.390
9,TURCOVID19 Hakkında,,,,,,,,
,https://turcovid19.com/hakkimizda/,,,,,,,,
10,Geri Bildirim,,,,,,,,
,https://turcovid19.com/iletisim/,,,,,,,,
11,"Kullanım Hakları, Lisans ve Atıf",,,,,,,,
,Veri setinin kullanım hakları TURCOVID19'a aittir,,,,,,,,
,"Bu veri seti,  CC BY-NC-ND 4.0 lisansı ile lisanslanmıştır. ",,,,,,,,
,Atıf yapmak koşuluyla kullanım ve paylaşıma açıktır. ,,,,,,,,
12,Atıf,,,,,,,,
,"Akademik: Uçar, A , Arslan, Ş , Manap, H , Gürkan, T , Çalışkan, M , Dayıoğlu, A , Efe, H , Yılmaz, M , İbrahi̇moğlu, A , Gülteki̇n, E , Durna, R , Başar, R , Osmanoğlu, F , Ören, S . (2020). Türkiye’de Covid-19 Pandemisinin Monitörizasyonu Için Interaktif Ve Gerçek Zamanlı Bir Web Uygulaması: TURCOVID19 . Anatolian Clinic the Journal of Medical Sciences , 25 (Special Issue on COVID 19) , 154-155 . DOI: 10.21673/anadoluklin.726347",,,,,,,,
,"Web: <div>Kaynak: <a title=""TURCOVID19"" href=""https://turcovid19.com"">turcovid19.com</a></div>",,,,,,,,
,Basılı görseller: turcovid19.com,,,,,,,,
,Video: turcovid19.com,,,,,,,,
